call_id,client_id,dept_id,tele_id,salary,date,call_satisfaction_grade,call_response_time
1,723,DEPT_MAIN,26,1000,279,6,ACCEPTABLE
2,254,DEPT_SALES,128,1200,109,3,EXCESSIVE
3,568,DEPT_MAIN,127,1200,207,8,SHORT
4,606,DEPT_SUPPORT,13,1000,256,6,ACCEPTABLE
5,1207,DEPT_CANCEL,83,900,519,8,SHORT
6,934,DEPT_MAIN,47,900,492,7,SHORT
7,531,DEPT_SUPPORT,185,1200,695,3,ACCEPTABLE
8,834,DEPT_CANCEL,196,1000,228,6,ACCEPTABLE
9,363,DEPT_SUPPORT,73,1000,410,2,SHORT
10,1499,DEPT_SUPPORT,1,1200,361,6,SHORT
11,1399,DEPT_CANCEL,141,900,445,4,ACCEPTABLE
12,918,DEPT_MAIN,86,1000,200,3,EXCESSIVE
13,1360,DEPT_CANCEL,42,900,488,4,ACCEPTABLE
14,774,DEPT_SUPPORT,226,1200,317,5,SHORT
15,1490,DEPT_SUPPORT,58,1200,509,7,ACCEPTABLE
16,161,DEPT_SALES,205,900,433,6,SHORT
17,783,DEPT_CANCEL,94,900,55,4,EXCESSIVE
18,504,DEPT_MAIN,208,900,471,4,EXCESSIVE
19,986,DEPT_CANCEL,26,1000,239,1,ACCEPTABLE
20,376,DEPT_CANCEL,12,1000,406,5,EXCESSIVE
21,201,DEPT_SUPPORT,204,1200,661,7,EXCESSIVE
22,898,DEPT_SALES,176,1000,652,1,EXCESSIVE
23,770,DEPT_SUPPORT,19,1200,384,8,EXCESSIVE
24,1223,DEPT_SUPPORT,233,1000,50,7,ACCEPTABLE
25,4,DEPT_CANCEL,21,900,565,6,ACCEPTABLE
26,22,DEPT_CANCEL,158,1000,385,4,ACCEPTABLE
27,556,DEPT_CANCEL,8,1200,397,6,EXCESSIVE
28,1355,DEPT_MAIN,3,1000,394,5,ACCEPTABLE
29,377,DEPT_MAIN,28,1000,634,4,ACCEPTABLE
30,1309,DEPT_SUPPORT,234,1000,642,8,EXCESSIVE
31,1217,DEPT_SUPPORT,230,900,165,9,ACCEPTABLE
32,938,DEPT_CANCEL,171,1200,602,1,ACCEPTABLE
33,927,DEPT_SALES,235,900,717,3,SHORT
34,1051,DEPT_CANCEL,71,1000,455,5,EXCESSIVE
35,328,DEPT_CANCEL,47,900,314,8,ACCEPTABLE
36,1452,DEPT_MAIN,207,1000,219,3,EXCESSIVE
37,615,DEPT_SUPPORT,90,1200,299,7,SHORT
38,1344,DEPT_SALES,23,900,342,4,SHORT
39,1070,DEPT_SUPPORT,158,1000,357,5,EXCESSIVE
40,870,DEPT_MAIN,213,1000,388,3,SHORT
41,692,DEPT_SUPPORT,85,900,665,5,EXCESSIVE
42,793,DEPT_SUPPORT,237,1000,573,9,EXCESSIVE
43,918,DEPT_MAIN,239,1000,448,3,SHORT
44,243,DEPT_CANCEL,204,1200,360,2,ACCEPTABLE
45,1387,DEPT_CANCEL,98,1000,29,8,SHORT
46,1190,DEPT_MAIN,139,900,651,1,SHORT
47,346,DEPT_SALES,164,1000,358,2,ACCEPTABLE
48,1453,DEPT_SUPPORT,248,1000,352,8,ACCEPTABLE
49,40,DEPT_SALES,135,1000,322,2,ACCEPTABLE
50,779,DEPT_MAIN,3,1000,299,2,EXCESSIVE
51,1077,DEPT_SALES,94,900,679,7,ACCEPTABLE
52,1096,DEPT_SUPPORT,197,1200,197,7,SHORT
53,206,DEPT_SUPPORT,117,1000,642,2,EXCESSIVE
54,1206,DEPT_SUPPORT,52,1000,68,3,ACCEPTABLE
55,1205,DEPT_SALES,88,1200,550,6,ACCEPTABLE
56,1365,DEPT_CANCEL,248,1000,236,7,ACCEPTABLE
57,239,DEPT_MAIN,133,1000,229,4,EXCESSIVE
58,479,DEPT_MAIN,169,1200,336,9,ACCEPTABLE
59,880,DEPT_SALES,171,1200,426,9,SHORT
60,492,DEPT_CANCEL,61,900,95,2,ACCEPTABLE
61,1361,DEPT_SALES,183,900,40,3,SHORT
62,160,DEPT_CANCEL,95,1000,280,4,EXCESSIVE
63,1254,DEPT_SALES,147,1200,72,5,SHORT
64,591,DEPT_CANCEL,183,900,545,7,EXCESSIVE
65,174,DEPT_SALES,195,1000,247,4,EXCESSIVE
66,1329,DEPT_SUPPORT,35,900,341,3,SHORT
67,911,DEPT_MAIN,228,900,367,2,ACCEPTABLE
68,30,DEPT_CANCEL,4,1200,671,9,SHORT
69,540,DEPT_CANCEL,210,900,35,5,SHORT
70,350,DEPT_SALES,244,1200,274,1,EXCESSIVE
71,895,DEPT_SALES,239,1000,282,6,EXCESSIVE
72,696,DEPT_MAIN,123,1000,363,7,ACCEPTABLE
73,1186,DEPT_SUPPORT,214,1000,373,1,SHORT
74,898,DEPT_SUPPORT,206,1200,705,1,ACCEPTABLE
75,1193,DEPT_CANCEL,46,900,466,3,ACCEPTABLE
76,734,DEPT_CANCEL,206,1200,503,1,EXCESSIVE
77,920,DEPT_MAIN,34,900,643,5,ACCEPTABLE
78,362,DEPT_SALES,124,1200,314,4,EXCESSIVE
79,205,DEPT_SUPPORT,230,900,115,5,SHORT
80,1247,DEPT_SALES,247,1200,452,9,ACCEPTABLE
81,1009,DEPT_CANCEL,234,1000,564,6,EXCESSIVE
82,611,DEPT_SUPPORT,64,1200,377,9,ACCEPTABLE
83,1333,DEPT_MAIN,30,1200,387,1,ACCEPTABLE
84,205,DEPT_MAIN,216,1200,323,7,EXCESSIVE
85,1146,DEPT_CANCEL,112,1000,206,2,EXCESSIVE
86,1014,DEPT_CANCEL,123,1000,318,5,ACCEPTABLE
87,1208,DEPT_SUPPORT,187,1200,364,1,EXCESSIVE
88,56,DEPT_SALES,229,1000,310,8,ACCEPTABLE
89,620,DEPT_CANCEL,24,1200,133,8,SHORT
90,538,DEPT_SUPPORT,75,1200,89,2,EXCESSIVE
91,699,DEPT_SALES,15,1200,325,3,EXCESSIVE
