call_id,call_satisfaction_grade,call_response_time
4000,7,EXCESSIVE
4001,2,SHORT
4002,3,EXCESSIVE
4003,3,ACCEPTABLE
4004,4,EXCESSIVE
4005,9,EXCESSIVE
4006,2,SHORT
4007,1,ACCEPTABLE
4008,7,ACCEPTABLE
4009,6,ACCEPTABLE
4010,5,SHORT
4011,7,ACCEPTABLE
4012,2,EXCESSIVE
4013,2,ACCEPTABLE
4014,8,SHORT
4015,6,ACCEPTABLE
4016,9,SHORT
4017,2,SHORT
4018,3,SHORT
4019,7,EXCESSIVE
4020,8,ACCEPTABLE
4021,9,EXCESSIVE
4022,9,EXCESSIVE
4023,9,SHORT
4024,2,ACCEPTABLE
4025,6,ACCEPTABLE
4026,5,EXCESSIVE
4027,8,EXCESSIVE
4028,1,ACCEPTABLE
4029,2,SHORT
4030,1,ACCEPTABLE
4031,4,SHORT
4032,2,SHORT
4033,5,EXCESSIVE
4034,1,EXCESSIVE
4035,2,SHORT
4036,4,SHORT
4037,6,EXCESSIVE
4038,3,EXCESSIVE
4039,1,ACCEPTABLE
4040,6,ACCEPTABLE
4041,8,SHORT
4042,2,ACCEPTABLE
4043,5,EXCESSIVE
4044,1,ACCEPTABLE
4045,6,SHORT
4046,3,EXCESSIVE
4047,1,EXCESSIVE
4048,5,EXCESSIVE
4049,8,ACCEPTABLE
4050,4,ACCEPTABLE
4051,7,SHORT
4052,4,EXCESSIVE
4053,9,ACCEPTABLE
4054,7,ACCEPTABLE
4055,1,ACCEPTABLE
4056,8,EXCESSIVE
4057,7,SHORT
4058,2,EXCESSIVE
4059,6,SHORT
4060,9,ACCEPTABLE
4061,1,SHORT
4062,5,SHORT
4063,6,ACCEPTABLE
4064,1,SHORT
4065,9,ACCEPTABLE
4066,6,SHORT
4067,1,EXCESSIVE
4068,1,SHORT
4069,6,SHORT
4070,3,ACCEPTABLE
4071,6,ACCEPTABLE
4072,2,ACCEPTABLE
4073,9,SHORT
4074,9,SHORT
4075,9,ACCEPTABLE
4076,9,EXCESSIVE
4077,1,ACCEPTABLE
4078,4,ACCEPTABLE
4079,5,EXCESSIVE
4080,7,EXCESSIVE
4081,4,SHORT
4082,3,ACCEPTABLE
4083,2,EXCESSIVE
4084,7,EXCESSIVE
4085,8,EXCESSIVE
4086,8,EXCESSIVE
4087,4,ACCEPTABLE
4088,8,SHORT
4089,2,ACCEPTABLE
4090,8,SHORT
4091,2,ACCEPTABLE
4092,2,EXCESSIVE
4093,7,EXCESSIVE
4094,8,EXCESSIVE
4095,4,EXCESSIVE
4096,6,ACCEPTABLE
4097,8,EXCESSIVE
4098,7,SHORT
4099,2,SHORT
4100,7,EXCESSIVE
4101,9,ACCEPTABLE
4102,3,EXCESSIVE
4103,2,ACCEPTABLE
4104,7,SHORT
4105,3,ACCEPTABLE
4106,1,ACCEPTABLE
4107,5,SHORT
4108,5,SHORT
4109,5,EXCESSIVE
4110,5,EXCESSIVE
4111,5,ACCEPTABLE
4112,9,SHORT
4113,2,SHORT
4114,5,ACCEPTABLE
4115,1,ACCEPTABLE
4116,2,SHORT
4117,2,ACCEPTABLE
4118,7,SHORT
4119,9,EXCESSIVE
4120,5,ACCEPTABLE
4121,6,SHORT
4122,5,EXCESSIVE
4123,8,ACCEPTABLE
4124,2,ACCEPTABLE
4125,8,SHORT
4126,9,EXCESSIVE
4127,6,ACCEPTABLE
4128,8,ACCEPTABLE
4129,4,ACCEPTABLE
4130,2,EXCESSIVE
4131,6,ACCEPTABLE
4132,3,EXCESSIVE
4133,1,SHORT
4134,9,EXCESSIVE
4135,8,ACCEPTABLE
4136,8,SHORT
4137,9,EXCESSIVE
4138,9,SHORT
4139,1,SHORT
4140,8,ACCEPTABLE
4141,6,EXCESSIVE
4142,1,SHORT
4143,1,ACCEPTABLE
4144,5,SHORT
4145,1,SHORT
4146,8,SHORT
4147,9,SHORT
4148,3,SHORT
4149,9,EXCESSIVE
4150,8,EXCESSIVE
4151,8,EXCESSIVE
4152,2,ACCEPTABLE
4153,5,ACCEPTABLE
4154,6,ACCEPTABLE
4155,1,EXCESSIVE
4156,9,EXCESSIVE
4157,5,ACCEPTABLE
4158,7,SHORT
4159,8,ACCEPTABLE
4160,1,EXCESSIVE
4161,9,SHORT
4162,9,SHORT
4163,9,SHORT
4164,1,ACCEPTABLE
4165,5,EXCESSIVE
4166,9,SHORT
4167,2,ACCEPTABLE
4168,9,EXCESSIVE
4169,3,EXCESSIVE
4170,4,ACCEPTABLE
4171,9,ACCEPTABLE
4172,6,EXCESSIVE
4173,3,EXCESSIVE
4174,7,ACCEPTABLE
4175,6,ACCEPTABLE
4176,1,ACCEPTABLE
4177,5,EXCESSIVE
4178,2,ACCEPTABLE
4179,7,ACCEPTABLE
4180,3,EXCESSIVE
4181,7,EXCESSIVE
4182,8,SHORT
4183,2,EXCESSIVE
4184,3,ACCEPTABLE
4185,1,ACCEPTABLE
4186,4,EXCESSIVE
4187,9,EXCESSIVE
4188,8,SHORT
4189,4,EXCESSIVE
4190,1,SHORT
4191,5,ACCEPTABLE
4192,7,ACCEPTABLE
4193,6,ACCEPTABLE
4194,4,EXCESSIVE
4195,3,ACCEPTABLE
4196,3,EXCESSIVE
4197,1,SHORT
4198,3,EXCESSIVE
4199,4,EXCESSIVE
4200,8,EXCESSIVE
4201,3,EXCESSIVE
4202,6,SHORT
