1RzGRJPdD9HGrcy4,RnnN1OSfgLO0fBh2,2018-06-10,2019-10-19,120,20
PMeUP6f8tSvbe7Yo,ZxEZpGjYzwniBaUP,2019-09-27,2019-11-22,120,20
65njevaWjONZ9glF,owPtwwstjexvqxNA,2017-08-20,2019-01-21,120,20
l6rZzrDZlYKLyDFB,ZO9z6LKcdtSF9dxU,2019-12-02,2019-12-09,100,15
ljHvGBio4sCUWFri,AJyyPBIqTXhML1wM,2019-07-25,2019-08-13,-1,25
sUVHafnOYZdLQC6c,YUSOQ8LXT5Xr0xVd,2019-08-15,2019-08-28,120,20
mYkYZaNxaH0hVNWx,hSvethSi4f3YJHiC,2018-12-25,2019-02-11,-1,25
Ip0R7TgJdWYlU43B,v1RuG6hZXD0ux8Y1,2019-02-02,2019-03-20,-1,25
GzhngFCDy8uLqPHn,pB0eRWSrSlOyMcvV,2017-05-24,2017-07-29,100,15
TnVQhdqf2qxLpxCS,ZGDtsinpZr8dWdGE,2016-07-06,2018-10-01,100,15
IlF24CyLop1GXRc4,9tWptGNn5Yl0z5j8,2017-04-06,2018-09-29,100,15
KIon29epKh8EKzKV,bDlu87kfMdgKLM8y,2019-06-18,2019-08-23,-1,25
ayYRLY9qztKJ7N6t,wBycNPIbRncDbrdP,2019-04-03,2019-09-29,120,20
db98gLUmve4MjGUB,dpREZZ3jMpxlkQg2,2019-07-20,2019-08-31,-1,25
IrjakBpeYFyYvy8C,RrixUNA0YgldB7Sa,2017-04-14,2019-01-10,100,15
JC9gbCz9lOx3L6ge,T82PrHJIp3gZO7tj,2018-06-30,2018-10-07,120,20
SRtMwk55DjcFxQER,41rWISSlvPkKueFg,2017-03-11,2019-02-24,100,15
QH7a9MFB7hFHZ6k0,Ul6z19TpqkhnTtFU,2019-10-31,2019-11-07,-1,25
0NuFuQHGZaFOeMOJ,yR4hi5W8QO6HnoWD,2017-04-27,2017-12-27,100,15
0zV9g3MlmAznvBPb,Gd87pTkUXsl8m5Xo,2019-10-21,2019-11-04,-1,25
VdlywbzRxZueu0A5,lYko9EnY3Yfx58wc,2019-02-22,2019-11-27,120,20
4jk0jjg2tM2Bbo45,jLGLaolxr2KZrv7Z,2018-01-29,2018-04-25,120,20
37U1CZkyhJXoR2iX,ldQII5zhlxNJvA2z,2019-11-03,2019-11-08,100,15
BprQ9C7ZYtfxafIR,OZvfGGFzJ1FDYlKt,2018-11-26,2019-02-24,-1,25
PBbQl0sDsDzsW6RQ,bq8fZuc0umQ0gDFj,2017-08-13,2018-08-03,100,15
18yVxmkAmqtQkD3t,7tuuJP5a3iqMJSri,2019-09-16,2019-09-28,120,20
MYCYqrVzHP9vwilp,bn3lkiOUCYmOpw7O,2019-01-31,2019-10-05,-1,25
NqsZhTS2OqkPxcmZ,idaV5GTzJk6bFH2h,2018-11-01,2019-10-19,100,15
TOeOHQ1jCpHAVrhq,V7YzlKkELasPcXfO,2019-06-22,2019-11-09,-1,25
feE4Mm6S2DkyZ3cQ,ARh7N0E9Y3SUNEBK,2019-06-06,2019-06-18,120,20
H1pTUmDWrdJc4SEO,NGCm3KSpN0ctBZpG,2017-08-26,2018-05-22,100,15
s7VBc4lJcm137Rxx,I7lgBPc9qmztcJ9s,2018-02-13,2018-12-05,100,15
pIylwrK3RTAT2WeD,74zcVaeqj7ZdilKl,2019-11-29,2019-12-10,120,20
SEDBMxURROpbmWR1,JCbDYjrhX96f2wSm,2017-11-15,2018-04-17,100,15
XhfbMXc7sozXgdaS,5uoBNXscGmdA1idW,2018-08-23,2018-12-11,120,20
xIspWMVVbQZ3ibF9,Sep6eaBaydHsEiv5,2018-10-14,2019-02-22,-1,25
z3k2RnYW0Clux84J,bL3pE9uNQQLbZQQb,2019-06-28,2019-10-25,-1,25
hRVZCpUx40srHb7g,FdrFZGcnEMiM4ded,2019-05-01,2019-07-19,-1,25
yJtNxvJRwlmlFfqR,CzHSvIsQhBvuftIB,2018-06-18,2019-04-01,120,20
Uoom1biVzZCT26gm,nd10c6tUYO4J3nVN,2016-09-26,2018-03-22,100,15
46ywNZDbx9VCuNJw,ooAk1AXRJhY7Mkzq,2016-07-28,2017-08-29,100,15
HNn2RunB6O3BdCM7,0TzTO0pxCBkwJbNW,2018-12-04,2019-12-15,-1,25
x5aCfYysWtZk46Ps,L7SPxkCg1yDhAK4I,2018-11-27,2018-12-07,120,20
hKXIBEdwr4K4qG0X,hwPhkQzhER1A2OVx,2018-02-03,2019-03-10,120,20
tHPnvG94Yd0LOo3a,QQ43L4IsubxxfVB9,2018-08-26,2019-09-17,-1,25
P9Rf4UjpUjTjPR40,bt5T2BLgtpSzc7oU,2018-12-16,2019-10-15,-1,25
3WI2Iv8Q4LLIvxZx,PucUVjPO9AfVj1uP,2018-03-23,2018-07-26,120,20
0JfWVJp13Az0qlZO,i0SqQnY70GJEwkv6,2019-01-01,2019-08-08,-1,25
